name,timestamp,angry,disgust,fear,happy,sad,surprise,neutral
Cha Tae Sik,348,0.2,0,0.2,0,80.6,0,19
 Jeong So Mi,385,0,0,0,0.1,99.9,0,0
 Jeong So Mi,437,78.2,0.3,3.1,0,16.4,0,2
 Jeong So Mi,453,4,0,1.5,53.5,0.2,3.8,36.9
 Jeong So Mi,459,13.8,0,2.2,0,83.1,0,0.9
 Jeong So Mi,464,3.9,0,1.7,0,94.3,0,0.1
 Jeong So Mi,478,0.1,0,0,41.5,0.5,0,58
Cha Tae Sik,481,0,0,0,0,99.8,0,0.2
 Jeong So Mi,483,0.1,0,0,0,13,0,86.8
 Jeong So Mi,488,0.5,0,0,0,15.6,0,83.9
Cha Tae Sik,491,0.1,0,0.1,0,70.7,0,29.2
 Jeong So Mi,494,0,0,0,0,0.1,0,99.9
Cha Tae Sik,507,0.7,0,0.6,0,96.4,0,2.4
 Jeong So Mi,513,0,0,0,0,0.1,0,99.9
Cha Tae Sik,520,0.1,0,0.1,0,98.9,0,0.9
 Jeong So Mi,524,0.9,0,0.4,0,6.4,0,92.3
Cha Tae Sik,527,0,0,0,0,89.6,0,10.3
Cha Tae Sik,534,0,0,0,0,100,0,0
Cha Tae Sik,538,0,0,0,0,99.2,0,0.8
Cha Tae Sik,543,0,0,0,0,98.4,0,1.6
 Jeong So Mi,548,82.7,1.1,0.6,0.1,15.1,0,0.4
Cha Tae Sik,572,0,0,0,0,91.9,0,8.1
 Jeong So Mi,633,0,0,0,99.9,0,0,0.1
 Jeong So Mi,642,33.8,0,0,0,14.3,0,51.9
Cha Tae Sik,645,69.3,0,0,1.8,9.4,0.6,18.9
 Jeong So Mi,649,0,0,0.1,0.1,0,0,99.8
 Man Seok,693,81,0,3.2,0,15.1,0,0.6
 Man Seok,704,83.3,0,6.8,9.6,0.1,0.1,0
 Man Seok,709,5.4,0,23.6,0,7.7,0,63.3
 Man Seok,726,7.4,0,3.8,0,88.6,0,0.2
 Lam Loan,730,8.3,0,0.5,0,43.8,0,47.5
 Man Seok,742,9.2,0.1,1.5,16,52.1,0,21.1
 Man Seok,754,90,0.6,5.5,0,1.9,0.9,1.1
 Man Seok,771,18.4,0,0.2,0,21.6,0,59.8
 Man Seok,779,0,0,0,0,14.7,0,85.3
 Jeong So Mi,833,0.4,0,0.1,0,86,0,13.5
 Jeong So Mi,848,0,0,0.1,0,99.9,0,0
 Jeong So Mi,874,13.1,0,76.6,0.4,3.4,1.3,5.2
Cha Tae Sik,908,0,0,0,0,100,0,0
Cha Tae Sik,915,21.6,0.1,0.1,0,16.7,0,61.5
 Jeong So Mi,929,0,0,91.5,0,8.5,0,0
Cha Tae Sik,939,20.6,0,0,0.1,46.4,0.3,32.6
 Jeong So Mi,942,0.5,0,53.3,1.5,0.1,44,0.6
Cha Tae Sik,945,3.8,0,0.1,0.5,91,0.1,4.6
Cha Tae Sik,952,0,0,0,0,99.9,0,0
 Jeong So Mi,960,0,0,11.2,3.1,85.7,0,0
Cha Tae Sik,971,29.4,0,0.4,0,58.3,0,11.9
Cha Tae Sik,1018,0,0,0,0,100,0,0
Cha Tae Sik,1042,0,0,0,0,100,0,0
Cha Tae Sik,1049,0,0,0,100,0,0,0
Cha Tae Sik,1072,0,0,0,0,100,0,0
Cha Tae Sik,1103,0,0,3,0,96.1,0,0.9
Cha Tae Sik,1103,0,0,100,0,0,0,0
 Man Seok,1103,0,0,85.5,6,0.2,2.1,6.1
Cha Tae Sik,1103,0,0,14.4,0.1,32.4,0,53.1
 Lam Loan,1103,0,0,83.9,0,14.2,0,1.8
 Jeong So Mi,1103,0,0,0.8,0,78.5,0,20.7
