name,timestamp,angry,disgust,fear,happy,sad,surprise,neutral
Kim Chi Gon,51,0.1,0,0.2,0,94.1,0,5.7
Kim Chi Gon,52,0,0,4.3,0,84.4,0.1,11.2
Bear,98,0.1,0,0.1,30.5,5.4,0,63.9
Bear,99,26.2,0,70.3,0,0.9,0,2.6
Bear,100,88.7,0,0.3,0,1.1,0,9.9
Park Hyo Jeong,106,3.3,0,84.7,0,10.6,0,1.4
Park Hyo Jeong,107,0,0,0.7,0,99.3,0,0
Park Hyo Jeong,108,0.1,0,0.5,0,88.4,0,11
Park Hyo Jeong,109,0.4,0,0.9,0,98.5,0,0.1
Park Hyo Jeong,111,1.5,0,0,0,0.9,0,97.5
Park Hyo Jeong,113,0.1,0,1.1,0,86.2,0,12.5
Park Hyo Jeong,114,32.7,0,0.3,4.8,4.1,0,58
Park Hyo Jeong,115,0,0,0.6,0,99.4,0,0
Park Hyo Jeong,122,0.1,0,0.1,0,1.3,0,98.4
Park Hyo Jeong,123,0.1,0,0.1,0,95.7,0,4
Bear,125,3.6,0,0.8,0.4,16.9,0,78.2
No Myung Soo,131,3.8,0,0,17.8,33.9,0,44.4
Kim Chi Gon,142,0,0,0,0,0.1,0,99.9
Kim Chi Gon,143,0,0,0.1,0,0.9,0,99
Kim Chi Gon,144,0,0,0,0,7.4,0,92.5
Kim Chi Gon,145,0.1,0,2.3,0,97.1,0,0.5
Bear,147,0,0,22.4,71.4,2.3,0,4
Bear,161,2.1,0,1,0,46.2,0,50.7
Bear,164,1.7,0,8.4,0,47,0.1,42.8
No Myung Soo,165,0.7,0,0,1.5,12.3,0,85.5
Park Hyo Jeong,183,1.9,0,86.1,0,12,0,0
Park Hyo Jeong,196,0.8,0,0,0,30.2,0,69
Park Hyo Jeong,202,0,0,0,0,100,0,0
Bear,216,0,0,0,0,99.8,0,0.2
No Myung Soo,219,0.3,0,0,0.1,14.2,0,85.4
Kim Chi Gon,221,2.1,0,7.7,0,88.1,0,2.1
Kim Chi Gon,224,8.7,0,0.2,0,11.1,0,80
Kim Chi Gon,225,86.1,0,0,0,2.4,0,11.5
No Myung Soo,228,0,0,0,98.9,1,0,0
No Myung Soo,230,8.4,0,41.8,12,34.7,1.7,1.4
No Myung Soo,231,99.1,0,0.5,0.2,0.1,0,0
Bear,232,94,0.1,4.1,0.8,0.5,0.2,0.4
No Myung Soo,234,0.1,0,1.1,0,98.9,0,0
Kim Chi Gon,238,0,0,0,0.2,99.8,0,0.1
Kim Chi Gon,239,0,0,0,0,100,0,0
Bear,246,0.1,0,0,0.1,21.7,0,78.1
Bear,247,0.1,0,79.9,13.3,6.7,0,0
